e6d6,0.762984,2;
f6f7,2.40086,2;
h5f3,6.72591,2;
c8f5,2.11139,2;
b8d7,1.24613,2;
Avg time,2.649455,6;
e6d6,7.70288,4;
f6f7,16.4337,4;
h5f3,33.3705,4;
c8f5,32.8505,4;
b8d7,15.5762,4;
Avg time,10.152542,6;
e6d6,8.38524,8;
f6f7,16.452,8;
h5f3,37.3102,8;
c8f5,32.7251,8;
b8d7,21.5896,8;
Avg time,13.076063,6;
e6d6,0.814113,12;
f6f7,2.07433,12;
h5f3,2.4529,12;
c8f5,2.60202,12;
b8d7,1.35305,12;
Avg time,10.416064,6;
e6d6,0.937644,16;
f6f7,2.15895,16;
h5f3,4.3896,16;
c8f5,2.95553,16;
b8d7,1.34843,16;
Avg time,8.879512,6;
e6d6,0.977101,24;
f6f7,2.35602,24;
h5f3,3.00605,24;
c8f5,4.29841,24;
b8d7,1.72605,24;
Avg time,7.856676,6;
e6d6,1.13253,32;
f6f7,2.40725,32;
h5f3,2.59485,32;
c8f5,3.63215,32;
b8d7,1.25701,32;
Avg time,7.088245,6;
e6d6,1.47835,64;
f6f7,3.31577,64;
h5f3,10.6776,64;
c8f5,4.23642,64;
b8d7,2.2477,64;
Avg time,6.707251,6;
e6d6,1.88954,96;
f6f7,4.14474,96;
h5f3,4.55306,96;
c8f5,5.84926,96;
b8d7,0.913084,96;
Avg time,6.331943,6;
